ERC20_most_rec_token_type,count
LendConnect,1
Indorse,1
Ink Protocol,1
Celer Network,1
InsurePal,1
Intelion,1
$P4C3,1
JewCoin,1
Jolly Boots,1
KEY,1
Katalyse,1
Cash Poker Pro,1
KredX Token,1
LEADCOIN,1
LikeCoin,1
CVNToken,1
CargoX,1
Litecoin One,1
Live Stars Token,1
Cappasity,1
LocalCoinSwap Cryptoshare,1
CandyHCoin,1
LuckCash,1
MATRIX AI Network,1
CYRUS,1
MEX,1
MINDOL,1
MKR,1
MKRWrapper,1
Invox Finance Token,1
